date,cash,market_value,equity,positions
2018-01-02,200000.0,0.0,200000.0,0
2018-01-03,200000.0,0.0,200000.0,0
2018-01-04,200000.0,0.0,200000.0,0
2018-01-05,200000.0,0.0,200000.0,0
2018-01-08,200000.0,0.0,200000.0,0
2018-01-09,200000.0,0.0,200000.0,0
2018-01-10,200000.0,0.0,200000.0,0
2018-01-11,200000.0,0.0,200000.0,0
2018-01-12,200000.0,0.0,200000.0,0
2018-01-15,200000.0,0.0,200000.0,0
2018-01-16,200000.0,0.0,200000.0,0
2018-01-17,200000.0,0.0,200000.0,0
2018-01-18,200000.0,0.0,200000.0,0
2018-01-19,200000.0,0.0,200000.0,0
2018-01-22,200000.0,0.0,200000.0,0
2018-01-23,200000.0,0.0,200000.0,0
2018-01-24,200000.0,0.0,200000.0,0
2018-01-25,200000.0,0.0,200000.0,0
2018-01-26,200000.0,0.0,200000.0,0
2018-01-29,200000.0,0.0,200000.0,0
2018-01-30,200000.0,0.0,200000.0,0
2018-01-31,200000.0,0.0,200000.0,0
2018-02-01,200000.0,0.0,200000.0,0
2018-02-02,200000.0,0.0,200000.0,0
2018-02-05,200000.0,0.0,200000.0,0
2018-02-06,200000.0,0.0,200000.0,0
2018-02-07,200000.0,0.0,200000.0,0
2018-02-08,200000.0,0.0,200000.0,0
2018-02-09,200000.0,0.0,200000.0,0
2018-02-12,200000.0,0.0,200000.0,0
2018-02-13,200000.0,0.0,200000.0,0
2018-02-14,200000.0,0.0,200000.0,0
2018-02-22,200000.0,0.0,200000.0,0
2018-02-23,200000.0,0.0,200000.0,0
2018-02-26,200000.0,0.0,200000.0,0
2018-02-27,200000.0,0.0,200000.0,0
2018-02-28,200000.0,0.0,200000.0,0
2018-03-01,200000.0,0.0,200000.0,0
2018-03-02,200000.0,0.0,200000.0,0
2018-03-05,200000.0,0.0,200000.0,0
2018-03-06,200000.0,0.0,200000.0,0
2018-03-07,200000.0,0.0,200000.0,0
2018-03-08,200000.0,0.0,200000.0,0
2018-03-09,200000.0,0.0,200000.0,0
2018-03-12,200000.0,0.0,200000.0,0
2018-03-13,200000.0,0.0,200000.0,0
2018-03-14,200000.0,0.0,200000.0,0
2018-03-15,200000.0,0.0,200000.0,0
2018-03-16,200000.0,0.0,200000.0,0
2018-03-19,200000.0,0.0,200000.0,0
2018-03-20,200000.0,0.0,200000.0,0
2018-03-21,200000.0,0.0,200000.0,0
2018-03-22,200000.0,0.0,200000.0,0
2018-03-23,200000.0,0.0,200000.0,0
2018-03-26,200000.0,0.0,200000.0,0
2018-03-27,200000.0,0.0,200000.0,0
2018-03-28,200000.0,0.0,200000.0,0
2018-03-29,200000.0,0.0,200000.0,0
2018-03-30,200000.0,0.0,200000.0,0
2018-04-02,200000.0,0.0,200000.0,0
2018-04-03,200000.0,0.0,200000.0,0
2018-04-04,200000.0,0.0,200000.0,0
2018-04-09,200000.0,0.0,200000.0,0
2018-04-10,200000.0,0.0,200000.0,0
2018-04-11,200000.0,0.0,200000.0,0
2018-04-12,200000.0,0.0,200000.0,0
2018-04-13,200000.0,0.0,200000.0,0
2018-04-16,200000.0,0.0,200000.0,0
2018-04-17,200000.0,0.0,200000.0,0
2018-04-18,200000.0,0.0,200000.0,0
2018-04-19,200000.0,0.0,200000.0,0
2018-04-20,200000.0,0.0,200000.0,0
2018-04-23,200000.0,0.0,200000.0,0
2018-04-24,200000.0,0.0,200000.0,0
2018-04-25,200000.0,0.0,200000.0,0
2018-04-26,200000.0,0.0,200000.0,0
2018-04-27,200000.0,0.0,200000.0,0
2018-05-02,200000.0,0.0,200000.0,0
2018-05-03,200000.0,0.0,200000.0,0
2018-05-04,200000.0,0.0,200000.0,0
2018-05-07,200000.0,0.0,200000.0,0
2018-05-08,200000.0,0.0,200000.0,0
2018-05-09,200000.0,0.0,200000.0,0
2018-05-10,200000.0,0.0,200000.0,0
2018-05-11,200000.0,0.0,200000.0,0
2018-05-14,200000.0,0.0,200000.0,0
2018-05-15,200000.0,0.0,200000.0,0
2018-05-16,200000.0,0.0,200000.0,0
2018-05-17,200000.0,0.0,200000.0,0
2018-05-18,200000.0,0.0,200000.0,0
2018-05-21,200000.0,0.0,200000.0,0
2018-05-22,200000.0,0.0,200000.0,0
2018-05-23,200000.0,0.0,200000.0,0
2018-05-24,200000.0,0.0,200000.0,0
2018-05-25,200000.0,0.0,200000.0,0
2018-05-28,200000.0,0.0,200000.0,0
2018-05-29,200000.0,0.0,200000.0,0
2018-05-30,200000.0,0.0,200000.0,0
2018-05-31,200000.0,0.0,200000.0,0
2018-06-01,200000.0,0.0,200000.0,0
2018-06-04,200000.0,0.0,200000.0,0
2018-06-05,200000.0,0.0,200000.0,0
2018-06-06,200000.0,0.0,200000.0,0
2018-06-07,200000.0,0.0,200000.0,0
2018-06-08,200000.0,0.0,200000.0,0
2018-06-11,200000.0,0.0,200000.0,0
2018-06-12,200000.0,0.0,200000.0,0
2018-06-13,200000.0,0.0,200000.0,0
2018-06-14,200000.0,0.0,200000.0,0
2018-06-15,200000.0,0.0,200000.0,0
2018-06-19,200000.0,0.0,200000.0,0
2018-06-20,200000.0,0.0,200000.0,0
2018-06-21,200000.0,0.0,200000.0,0
2018-06-22,200000.0,0.0,200000.0,0
2018-06-25,200000.0,0.0,200000.0,0
2018-06-26,200000.0,0.0,200000.0,0
2018-06-27,200000.0,0.0,200000.0,0
2018-06-28,200000.0,0.0,200000.0,0
2018-06-29,200000.0,0.0,200000.0,0
2018-07-02,200000.0,0.0,200000.0,0
2018-07-03,200000.0,0.0,200000.0,0
2018-07-04,200000.0,0.0,200000.0,0
2018-07-05,200000.0,0.0,200000.0,0
2018-07-06,200000.0,0.0,200000.0,0
2018-07-09,200000.0,0.0,200000.0,0
2018-07-10,200000.0,0.0,200000.0,0
2018-07-11,200000.0,0.0,200000.0,0
2018-07-12,200000.0,0.0,200000.0,0
2018-07-13,200000.0,0.0,200000.0,0
2018-07-16,200000.0,0.0,200000.0,0
2018-07-17,200000.0,0.0,200000.0,0
2018-07-18,200000.0,0.0,200000.0,0
2018-07-19,200000.0,0.0,200000.0,0
2018-07-20,200000.0,0.0,200000.0,0
2018-07-23,200000.0,0.0,200000.0,0
2018-07-24,200000.0,0.0,200000.0,0
2018-07-25,200000.0,0.0,200000.0,0
2018-07-26,200000.0,0.0,200000.0,0
2018-07-27,200000.0,0.0,200000.0,0
2018-07-30,200000.0,0.0,200000.0,0
2018-07-31,200000.0,0.0,200000.0,0
2018-08-01,200000.0,0.0,200000.0,0
2018-08-02,200000.0,0.0,200000.0,0
2018-08-03,200000.0,0.0,200000.0,0
2018-08-06,200000.0,0.0,200000.0,0
2018-08-07,200000.0,0.0,200000.0,0
2018-08-08,200000.0,0.0,200000.0,0
2018-08-09,200000.0,0.0,200000.0,0
2018-08-10,200000.0,0.0,200000.0,0
2018-08-13,200000.0,0.0,200000.0,0
2018-08-14,156933.56794520002,43053.515999999996,199987.08394520002,1
2018-08-15,156933.56794520002,41272.0,198205.56794520002,1
2018-08-16,156933.56794520002,40568.0,197501.56794520002,1
2018-08-17,194680.44826360003,0.0,194680.44826360003,0
2018-08-20,194680.44826360003,0.0,194680.44826360003,0
2018-08-21,152581.78995385004,42086.032499999994,194667.82245385004,1
2018-08-22,152581.78995385004,41548.0,194129.78995385004,1
2018-08-23,152581.78995385004,40984.0,193565.78995385004,1
2018-08-24,152581.78995385004,43569.0,196150.78995385004,1
2018-08-27,152581.78995385004,46295.0,198876.78995385004,1
2018-08-28,198957.44172825004,0.0,198957.44172825004,0
2018-08-29,198957.44172825004,0.0,198957.44172825004,0
2018-08-30,198957.44172825004,0.0,198957.44172825004,0
2018-08-31,198957.44172825004,0.0,198957.44172825004,0
2018-09-03,198957.44172825004,0.0,198957.44172825004,0
2018-09-04,113561.16652905004,85370.66399999999,198931.83052905003,2
2018-09-05,113561.16652905004,81577.0,195138.16652905004,2
2018-09-06,113561.16652905004,80758.0,194319.16652905004,2
2018-09-07,113561.16652905004,81960.0,195521.16652905004,2
2018-09-10,149591.28085985006,40650.00000000001,190241.28085985006,1
2018-09-11,65051.16682605006,123929.934,188981.10082605004,3
2018-09-12,65051.16682605006,124062.0,189113.16682605006,3
2018-09-13,65051.16682605006,128285.0,193336.16682605006,3
2018-09-14,65051.16682605006,132799.0,197850.16682605006,3
2018-09-17,65051.16682605006,127387.0,192438.16682605006,3
2018-09-18,199588.09511085006,0.0,199588.09511085006,0
2018-09-19,199588.09511085006,0.0,199588.09511085006,0
2018-09-20,199588.09511085006,0.0,199588.09511085006,0
2018-09-21,199588.09511085006,0.0,199588.09511085006,0
2018-09-25,199588.09511085006,0.0,199588.09511085006,0
2018-09-26,199588.09511085006,0.0,199588.09511085006,0
2018-09-27,199588.09511085006,0.0,199588.09511085006,0
2018-09-28,199588.09511085006,0.0,199588.09511085006,0
2018-10-08,199588.09511085006,0.0,199588.09511085006,0
